or,opt_time,pes_time,opt_minutes,pes_minutes,neighborhood,title,rent,bedrooms,pid,date,link,sqft,sourcepage,longitude,latitude,rent_sqft,region,index,price,commute
37.7636+-121.9155,2803.0,4350.0,46.71666666666667,72,danville / san ramon,Amazing summer with a new amazing apartment,1967.0,1.0,4536683540.0,2014-06-24,http://sfbay.craigslist.org/eby/apa/4536683540.html,712.0,http://sfbay.craigslist.org/apa/index2300.html,-121.9155,37.7636,2.7626404494382024,sfbay,863,1967,59
37.7636+-121.9155,2803.0,4350.0,46.71666666666667,72,danville / san ramon,Great Location with Stellar views...Highlands Point Apartments!,2214.0,2.0,4468137969.0,2014-05-13,http://sfbay.craigslist.org/eby/apa/4468137969.html,1102.0,http://sfbay.craigslist.org/apa/index2800.html,-121.9155,37.7636,2.0090744101633393,sfbay,994,2214,59
38.099797+-122.614117,2939.0,4835.0,48.983333333333334,80,novato,"PENDING! Spacious Home On 1/3 Acre, Nice Features --PRANDI",3150.0,4.0,4477659727.0,2014-05-27,http://sfbay.craigslist.org/nby/apa/4477659727.html,1740.0,http://sfbay.craigslist.org/apa/index3800.html,-122.614117,38.099797,1.8103448275862069,sfbay,49,3150,64
37.345779+-121.994606,3275.0,5353.0,54.583333333333336,89,santa clara,Beautiful Water View ? Pictures Say over 1000 Words,2135.0,1.0,4530935148.0,2014-06-20,http://sfbay.craigslist.org/sby/apa/4530935148.html,750.0,http://sfbay.craigslist.org/apa/index400.html,-121.994606,37.345779,2.8466666666666667,sfbay,51,2135,71
37.345779+-121.994606,3275.0,5353.0,54.583333333333336,89,santa clara,Beautiful Water View ? Pictures Say over 1000 Words,2140.0,1.0,4546296388.0,2014-06-30,http://sfbay.craigslist.org/sby/apa/4546296388.html,750.0,http://sfbay.craigslist.org/apa/index2800.html,-121.994606,37.345779,2.8533333333333335,sfbay,922,2140,71
37.9724+-122.3369,1877.0,3281.0,31.283333333333335,54,richmond / point / annex,Lovely large one bedroom apartment!,1590.0,1.0,4529144386.0,2014-06-19,http://sfbay.craigslist.org/eby/apa/4529144386.html,742.0,http://sfbay.craigslist.org/apa/index700.html,-122.3369,37.9724,2.142857142857143,sfbay,504,1590,42
37.277417+-121.952354,3611.0,5600.0,60.18333333333333,93,campbell,"Cute & Spacious 1BD/1BD, 1st Floor w/Private Patio!!",1770.0,1.0,4565593512.0,2014-07-12,http://sfbay.craigslist.org/sby/apa/4565593512.html,550.0,http://sfbay.craigslist.org/apa/index1800.html,-121.952354,37.277417,3.2181818181818183,sfbay,53,1770,76
37.277417+-121.952354,3611.0,5600.0,60.18333333333333,93,campbell,GOING FAST! Reserve Your New 2BD/1BA TODAY!!!,2095.0,2.0,4497912125.0,2014-05-31,http://sfbay.craigslist.org/sby/apa/4497912125.html,870.0,http://sfbay.craigslist.org/apa/index900.html,-121.952354,37.277417,2.4080459770114944,sfbay,725,2095,76
37.761652+-122.390573,814.0,1800.0,13.566666666666666,30,potrero hill,Bright 2/1 DOGPATCH loft in converted historic building w parking,4400.0,2.0,4439579433.0,2014-05-16,http://sfbay.craigslist.org/sfc/apa/4439579433.html,1007.0,http://sfbay.craigslist.org/apa/index3500.html,-122.390573,37.76165200000001,4.369414101290963,sfbay,54,4400,21
37.782239+-122.440963,851.0,1933.0,14.183333333333334,32,USF / panhandle,"Top floor corner studio hrdwd flrs, closets, lndry shrd, rtrofited",1895.0,NA,4518940711.0,2014-06-17,http://sfbay.craigslist.org/sfc/apa/4518940711.html,485.0,http://sfbay.craigslist.org/apa/,-122.44096299999998,37.782239,3.9072164948453607,sfbay,55,1895,23
37.316841+-121.910966,3451.0,5416.0,57.516666666666666,90,willow glen / cambrian,SUMMER $PECIALS @ MOSAIC!!! ******SCHEDULE AN APPOINTMENT TODAY*****,2928.0,2.0,4489748782.0,2014-05-26,http://sfbay.craigslist.org/sby/apa/4489748782.html,1264.0,http://sfbay.craigslist.org/apa/index300.html,-121.910966,37.316841,2.3164556962025316,sfbay,56,2928,73
37.316841+-121.910966,3451.0,5416.0,57.516666666666666,90,willow glen / cambrian,Endless Possibilities in the Perfect Location. *** 1 Month Free***,2147.0,1.0,4483137330.0,2014-05-22,http://sfbay.craigslist.org/sby/apa/4483137330.html,861.0,http://sfbay.craigslist.org/apa/index2300.html,-121.910966,37.316841,2.493612078977933,sfbay,58,2147,73
37.316841+-121.910966,3451.0,5416.0,57.516666666666666,90,willow glen / cambrian,Your search for your new home stops at Mosaic! ***1 MONTH FREE!****,3278.0,2.0,4489026716.0,2014-05-26,http://sfbay.craigslist.org/sby/apa/4489026716.html,1341.0,http://sfbay.craigslist.org/apa/index1000.html,-121.910966,37.316841,2.4444444444444446,sfbay,206,3278,73
37.316841+-121.910966,3451.0,5416.0,57.516666666666666,90,willow glen / cambrian,CLAIM YOUR NEW HOME BEFORE THE SUMMER RUSH!!!,2699.0,2.0,4473416661.0,2014-05-16,http://sfbay.craigslist.org/sby/apa/4473416661.html,1173.0,http://sfbay.craigslist.org/apa/index2600.html,-121.910966,37.316841,2.3009377664109123,sfbay,498,2699,73
37.2685+-121.849,4070.0,5744.0,67.83333333333333,95,san jose south,Bella Villagio Has Everything You're Looking For!,2199.0,2.0,4491324702.0,2014-05-27,http://sfbay.craigslist.org/sby/apa/4491324702.html,1046.0,http://sfbay.craigslist.org/apa/index1000.html,-121.84899999999999,37.2685,2.1022944550669216,sfbay,57,2199,81
37.2685+-121.849,4070.0,5744.0,67.83333333333333,95,san jose south,1x1 With Den!! Extra Room Would Be Great For An Office!!,2119.0,1.0,4530122143.0,2014-06-20,http://sfbay.craigslist.org/sby/apa/4530122143.html,824.0,http://sfbay.craigslist.org/apa/index2900.html,-121.84899999999999,37.2685,2.5716019417475726,sfbay,541,2119,81
38.2507+-122.6155,3205.0,5156.0,53.416666666666664,85,petaluma,Come See the Beautiful Changes We've Made!,1705.0,2.0,4490942812.0,2014-05-27,http://sfbay.craigslist.org/nby/apa/4490942812.html,804.0,http://sfbay.craigslist.org/apa/index2000.html,-122.6155,38.2507,2.120646766169154,sfbay,59,1705,69
37.338851+-122.061448,2976.0,4614.0,49.6,76,sunnyvale,Grab This One Bedroom Jewel! 2 Patio Glass Doors Open To Private View!,2266.0,1.0,4551699854.0,2014-07-08,http://sfbay.craigslist.org/sby/apa/4551699854.html,550.0,http://sfbay.craigslist.org/apa/index600.html,-122.061448,37.338851,4.12,sfbay,61,2266,62
37.371842+-122.017104,3140.0,5093.0,52.333333333333336,84,sunnyvale,"Move-In July 25th, Remodeled 1st floor,  #217 1bdrm !",2315.0,1.0,4535390062.0,2014-06-23,http://sfbay.craigslist.org/sby/apa/4535390062.html,670.0,http://sfbay.craigslist.org/apa/index1200.html,-122.017104,37.371842,3.455223880597015,sfbay,62,2315,68
37.41334+-121.904125,3164.0,4793.0,52.733333333333334,79,san jose north,"Wonderful, Bright 3 bedroom is Ready for You at Apex",3549.0,3.0,4535387719.0,2014-06-23,http://sfbay.craigslist.org/sby/apa/4535387719.html,1400.0,http://sfbay.craigslist.org/apa/index1100.html,-121.904125,37.41334000000001,2.535,sfbay,63,3549,65
37.405038+-121.956874,3261.0,5183.0,54.35,86,santa clara,#257 Large 2x2 on the 2nd floor with W/D & Granite!,2793.0,2.0,4533515761.0,2014-06-30,http://sfbay.craigslist.org/sby/apa/4533515761.html,1051.0,http://sfbay.craigslist.org/apa/index1200.html,-121.956874,37.405038,2.657469077069458,sfbay,65,2793,70
37.405038+-121.956874,3261.0,5183.0,54.35,86,santa clara,"3rd Floor, Park View, Vaulted Ceilings, New Renovations! #317",2651.0,1.0,4497506897.0,2014-06-18,http://sfbay.craigslist.org/sby/apa/4497506897.html,830.0,http://sfbay.craigslist.org/apa/index2600.html,-121.956874,37.405038,3.193975903614458,sfbay,883,2651,70
37.670331+-122.072473,2020.0,3402.0,33.666666666666664,56,hayward / castro valley,Best Price for Sq. footage in Town,1525.0,1.0,4515462447.0,2014-06-16,http://sfbay.craigslist.org/eby/apa/4515462447.html,730.0,http://sfbay.craigslist.org/apa/index700.html,-122.072473,37.670331,2.089041095890411,sfbay,66,1525,44
37.7917+-122.4186,600.0,1370.0,10.0,22,lower nob hill,Amazing 14th Floor Studio For Rent!,1875.0,NA,4503353087.0,2014-06-10,http://sfbay.craigslist.org/sfc/apa/4503353087.html,450.0,http://sfbay.craigslist.org/apa/index1100.html,-122.4186,37.7917,4.166666666666667,sfbay,67,1875,16
37.7917+-122.4186,600.0,1370.0,10.0,22,russian hill,Furnished Family Home - Short Term Welcome,15e3,4.0,4498213760.0,2014-06-17,http://sfbay.craigslist.org/sfc/apa/4498213760.html,3800.0,http://sfbay.craigslist.org/apa/index2100.html,-122.4186,37.7917,3.9473684210526314,sfbay,735,15000,16
37.380934+-121.865029,3342.0,5124.0,55.7,85,san jose north,New Townhouse at a Great Location,2800.0,2.0,4541792234.0,2014-06-27,http://sfbay.craigslist.org/sby/apa/4541792234.html,1297.0,http://sfbay.craigslist.org/apa/index2800.html,-121.865029,37.380934,2.158828064764842,sfbay,69,2800,70
37.376745+-121.837012,3491.0,5677.0,58.18333333333333,94,san jose east,"Waitlist is open for 1, 2 & 3 bedrooms at Terramina Square!",1232.0,1.0,4560370469.0,2014-07-09,http://sfbay.craigslist.org/sby/apa/4560370469.html,706.0,http://sfbay.craigslist.org/apa/index2900.html,-121.83701200000002,37.376745,1.745042492917847,sfbay,71,1232,76
36.974541+-121.959171,5598.0,8621.0,93.3,143,capitola,A Must See! Fantastic Location! Beautiful One Bedroom Apt Home!,1595.0,1.0,4486171683.0,2014-05-24,http://sfbay.craigslist.org/scz/apa/4486171683.html,590.0,http://sfbay.craigslist.org/apa/index2000.html,-121.959171,36.974541,2.7033898305084745,sfbay,73,1595,118
38.456949+-122.736683,3964.0,6255.0,66.06666666666666,104,santa rosa,2 BR / 1 BA  Near Coddingtown,1300.0,2.0,4502836483.0,2014-06-14,http://sfbay.craigslist.org/nby/apa/4502836483.html,840.0,http://sfbay.craigslist.org/apa/index100.html,-122.736683,38.456949,1.5476190476190477,sfbay,74,1300,85
37.759532+-122.443057,1244.0,2914.0,20.733333333333334,48,castro / upper market,Gorgeous 4 Bed-Condo/TownhouseReady6.15EurekaValleySFDreamTeam,8200.0,4.0,4501246869.0,2014-06-02,http://sfbay.craigslist.org/sfc/apa/4501246869.html,2168.0,http://sfbay.craigslist.org/apa/index700.html,-122.443057,37.759532,3.782287822878229,sfbay,76,8200,34
37.803241+-122.23887,1273.0,2454.0,21.216666666666665,40,oakland lake merritt / grand,"BEAUTIFUL 20'S BLDG. HARDWOOD, SPACIOUS, LOCATION",1550.0,1.0,4463775049.0,2014-05-21,http://sfbay.craigslist.org/eby/apa/4463775049.html,720.0,http://sfbay.craigslist.org/apa/index2500.html,-122.23887,37.803241,2.1527777777777777,sfbay,77,1550,30
37.325066+-121.971782,3374.0,5193.0,56.233333333333334,86,santa clara,"Granite Counters, WD, fitness Ctr, walk to Apple shuttle and Starbucks",2595.0,2.0,4552755588.0,2014-07-04,http://sfbay.craigslist.org/sby/apa/4552755588.html,1060.0,http://sfbay.craigslist.org/apa/index800.html,-121.971782,37.325066,2.44811320754717,sfbay,78,2595,71
37.325066+-121.971782,3374.0,5193.0,56.233333333333334,86,santa clara,"EZ Access Hwys 280, 101, 17, near Google shuttle, Granite Counters, WD",3295.0,3.0,4536651804.0,2014-06-24,http://sfbay.craigslist.org/sby/apa/4536651804.html,1285.0,http://sfbay.craigslist.org/apa/index2300.html,-121.971782,37.325066,2.5642023346303504,sfbay,139,3295,71
37.543434+-122.285547,2017.0,3259.0,33.61666666666667,54,san mateo,Cozy 2 Bedroom Townhome,2472.0,2.0,4469984788.0,2014-05-16,http://sfbay.craigslist.org/pen/apa/4469984788.html,975.0,http://sfbay.craigslist.org/apa/index1500.html,-122.285547,37.54343400000001,2.5353846153846153,sfbay,80,2472,43
37.317172+-121.90891,3564.0,5507.0,59.4,91,willow glen / cambrian,Stop By SAT for our OPEN HOUSE!,3695.0,3.0,4470533889.0,2014-05-14,http://sfbay.craigslist.org/sby/apa/4470533889.html,1453.0,http://sfbay.craigslist.org/apa/index1000.html,-121.90891,37.317172,2.5430144528561596,sfbay,81,3695,75
37.457112+-122.43958,2847.0,4436.0,47.45,73,half moon bay,HMB Westside Rancher *Remodeled w/hardwood floors*,3400.0,3.0,4463888300.0,2014-05-15,http://sfbay.craigslist.org/pen/apa/4463888300.html,1350.0,http://sfbay.craigslist.org/apa/index300.html,-122.43958,37.457112,2.5185185185185186,sfbay,87,3400,60
37.77448+-122.391493,722.0,1681.0,12.033333333333333,28,SOMA / south beach,Bright and Spacious One Bedroom With Ball Park View!,3450.0,1.0,4555315971.0,2014-07-06,http://sfbay.craigslist.org/sfc/apa/4555315971.html,683.0,http://sfbay.craigslist.org/apa/index1600.html,-122.391493,37.77448,5.051244509516837,sfbay,88,3450,20
37.711886+-122.445706,1268.0,2417.0,21.133333333333333,40,excelsior / outer mission,"Outer Mission 2 Bedroom, Hardwood, Quartz Counter, View",1975.0,1.0,4539548974.0,2014-06-28,http://sfbay.craigslist.org/sfc/apa/4539548974.html,600.0,http://sfbay.craigslist.org/apa/index2500.html,-122.445706,37.711886,3.2916666666666665,sfbay,89,1975,30
