or,opt_time,pes_time,opt_minutes,pes_minutes,neighborhood,title,rent,bedrooms,pid,date,link,sqft,sourcepage,longitude,latitude,rent_sqft,region,index
37.833301+-122.254525,1292.0,2441.0,21.533333333333335,40.68333333333333,oakland north / temescal,2 Brm+ 1 study + 2Ba in enclosed property - Top Floor,2150.0,3.0,4528973466.0,2014-06-19,http://sfbay.craigslist.org/eby/apa/4528973466.html,NA,http://sfbay.craigslist.org/apa/index1200.html,-122.254525,37.833301,NA,sfbay,1
37.749296+-122.4272,1198.0,2594.0,19.966666666666665,43.233333333333334,noe valley,Attractive 2 bed in the heart of Noe Valley with parking,3200.0,2.0,4493998171.0,2014-05-29,http://sfbay.craigslist.org/sfc/apa/4493998171.html,NA,http://sfbay.craigslist.org/apa/index3200.html,-122.4272,37.749296,NA,sfbay,2
37.789356+-122.437821,755.0,1655.0,12.583333333333334,27.583333333333332,pacific heights,Charming Pacific Heights Edwardian steps to Fillmore and Alta Plaza,1500.0,NA,4492178358.0,2014-05-28,http://sfbay.craigslist.org/sfc/apa/4492178358.html,NA,http://sfbay.craigslist.org/apa/index3200.html,-122.437821,37.789356,NA,sfbay,3
37.389254+-122.079902,2952.0,4872.0,49.2,81.2,mountain view,Charming home in Downtown area. Blocks to Castro St. Updated Kitchen.,2995.0,2.0,4466668810.0,2014-05-15,http://sfbay.craigslist.org/pen/apa/4466668810.html,850.0,http://sfbay.craigslist.org/apa/index2900.html,-122.079902,37.389254,3.523529411764706,sfbay,4
37.901881+-122.55778,2071.0,3774.0,34.516666666666666,62.9,mill valley,Sunny Renovated Home With  Hot Tub Level Yard Foundation,7500.0,4.0,4553095464.0,2014-07-06,http://sfbay.craigslist.org/nby/apa/4553095464.html,2400.0,http://sfbay.craigslist.org/apa/index500.html,-122.55778,37.901881,3.125,sfbay,5
37.679864+-121.788726,2881.0,4398.0,48.016666666666666,73.3,dublin / pleasanton / livermore,This Awesome One-Bedroom Will Be Available In June!,1672.0,1.0,4535679604.0,2014-06-23,http://sfbay.craigslist.org/eby/apa/4535679604.html,636.0,http://sfbay.craigslist.org/apa/index500.html,-121.788726,37.679864,2.6289308176100628,sfbay,6
37.395801+-122.099004,2926.0,4898.0,48.766666666666666,81.63333333333334,mountain view,1BR Park Regent Apartment,1958.0,NA,4517187690.0,2014-07-10,http://sfbay.craigslist.org/pen/apa/4517187690.html,NA,http://sfbay.craigslist.org/apa/index1600.html,-122.099004,37.395801,NA,sfbay,7
37.776619+-122.417402,832.0,1962.0,13.866666666666667,32.7,downtown / civic / van ness,Welcome Home To 1813,2423.0,NA,4509258164.0,2014-06-07,http://sfbay.craigslist.org/sfc/apa/4509258164.html,NA,http://sfbay.craigslist.org/apa/index1200.html,-122.417402,37.776619,NA,sfbay,8
37.776619+-122.417402,832.0,1962.0,13.866666666666667,32.7,downtown / civic / van ness,THERE GOING SO FAST!,2540.0,NA,4470274826.0,2014-05-14,http://sfbay.craigslist.org/sfc/apa/4470274826.html,NA,http://sfbay.craigslist.org/apa/index1800.html,-122.417402,37.776619,NA,sfbay,350
37.397267+-122.088039,2871.0,4625.0,47.85,77.08333333333333,mountain view,"Renovated, Great Amenities and Close to Downtown MV!",4125.0,3.0,4543364295.0,2014-06-28,http://sfbay.craigslist.org/pen/apa/4543364295.html,1056.0,http://sfbay.craigslist.org/apa/index2100.html,-122.088039,37.397267,3.90625,sfbay,9
37.825548+-122.250205,1299.0,2434.0,21.65,40.56666666666667,oakland piedmont / montclair,Olde World Piedmont Ave Near Coffee,1295.0,NA,4519593188.0,2014-06-13,http://sfbay.craigslist.org/eby/apa/4519593188.html,NA,http://sfbay.craigslist.org/apa/index400.html,-122.250205,37.825548,NA,sfbay,10
37.860226+-122.27648,1390.0,2749.0,23.166666666666668,45.81666666666667,berkeley,3.2 Townhome in Berkeley for Rent,3250.0,3.0,4483081214.0,2014-05-22,http://sfbay.craigslist.org/eby/apa/4483081214.html,NA,http://sfbay.craigslist.org/apa/index2400.html,-122.27648,37.860226,NA,sfbay,11
37.803413+-122.423275,817.0,1770.0,13.616666666666667,29.5,russian hill,Remodeled 1 bd/1 bth w/Pkg & Lndry,3500.0,1.0,4446040369.0,2014-05-19,http://sfbay.craigslist.org/sfc/apa/4446040369.html,NA,http://sfbay.craigslist.org/apa/index3500.html,-122.423275,37.803413,NA,sfbay,12
38.277381+-122.052869,3107.0,4690.0,51.78333333333333,78.16666666666667,fairfield / vacaville,Dual Master Suite & Spacious Floor Plans $600 OFF 1ST Month,1573.0,2.0,4528463270.0,2014-06-19,http://sfbay.craigslist.org/eby/apa/4528463270.html,NA,http://sfbay.craigslist.org/apa/index2600.html,-122.052869,38.277381,NA,sfbay,13
38.277381+-122.052869,3107.0,4690.0,51.78333333333333,78.16666666666667,fairfield / vacaville,Burn Off Steam in our Comprehensive Fitness Center $500 OFF 1ST Month,1518.0,2.0,4530880956.0,2014-06-20,http://sfbay.craigslist.org/eby/apa/4530880956.html,NA,http://sfbay.craigslist.org/apa/index700.html,-122.052869,38.277381,NA,sfbay,85
38.277381+-122.052869,3107.0,4690.0,51.78333333333333,78.16666666666667,fairfield / vacaville,LUXE 1BDRM IN LOVELY RESORT SETTING. OPEN SAT&SUN! $1000 OFF 1ST MONTH,1335.0,1.0,4554569462.0,2014-07-05,http://sfbay.craigslist.org/eby/apa/4554569462.html,NA,http://sfbay.craigslist.org/apa/index300.html,-122.052869,38.277381,NA,sfbay,385
37.885869+-122.260614,1972.0,3577.0,32.86666666666667,59.61666666666667,berkeley north / hills,"Beautiful furnished historic house- decks, fireplaces, even a piano!",4900.0,3.0,4535188610.0,2014-07-04,http://sfbay.craigslist.org/eby/apa/4535188610.html,2400.0,http://sfbay.craigslist.org/apa/index300.html,-122.260614,37.885869,2.0416666666666665,sfbay,14
37.649525+-122.488019,1462.0,2775.0,24.366666666666667,46.25,pacifica,Open House 2-3pm Saturday Ranch Style Home for Rent,3200.0,3.0,4517531001.0,2014-06-12,http://sfbay.craigslist.org/pen/apa/4517531001.html,NA,http://sfbay.craigslist.org/apa/index1600.html,-122.488019,37.649525,NA,sfbay,15
37.487837+-121.926069,2838.0,4394.0,47.3,73.23333333333333,Fremont,Warm Springs Condo available in June,2349.0,2.0,4516550294.0,2014-06-11,http://sfbay.craigslist.org/sby/apa/4516550294.html,900.0,http://sfbay.craigslist.org/apa/,-121.926069,37.487837,2.61,sfbay,16
37.306369+-121.965902,3512.0,6241.0,58.53333333333333,104.01666666666667,san jose west,Elegant Newly Remodeled 3/2 Duplex for Rent $2950,2950.0,3.0,4519042144.0,2014-06-13,http://sfbay.craigslist.org/sby/apa/4519042144.html,NA,http://sfbay.craigslist.org/apa/index2000.html,-121.965902,37.306369,NA,sfbay,17
37.704357+-121.911587,2395.0,3702.0,39.916666666666664,61.7,dublin / pleasanton / livermore,"Amazing Views, Close to 580/680 and BART",2195.0,1.0,4523918836.0,2014-06-19,http://sfbay.craigslist.org/eby/apa/4523918836.html,783.0,http://sfbay.craigslist.org/apa/index2800.html,-121.911587,37.704357,2.8033205619412516,sfbay,18
